Designación                     d x peso,,Peralte,Alma,,Patin,,Área,Pandeo local,,X - X,,,,Propiedades torsión,
,,d    ,h,tw   , bf   , tf   ,,b / 2tf,h / tw,I,Z,S,r,J,Cw
mm,kg/m,mm,mm,mm,mm,mm,cm2,,,cm4,cm3,cm3,cm,cm4,cm6
457,59.6,455,407,8.1,153,13.4,76.2,5.8,50.9,25474,1285,1121,18.3,34,386692
457,68.5,460,408,9.2,154,15.4,87.1,5.1,44.6,29636,1487,1292,18.4,51,461882
457,74.5,458,408,9.1,191,14.5,94.9,6.6,45.2,33299,1656,1457,18.7,52,816349
457,81.9,460,406,10,192,16.1,104.6,6,41.1,37045,1836,1611,18.8,69,921078
457,89.4,463,407,10.6,193,17.7,113.6,5.5,38.7,40958,2016,1770,19,90,1033863
457,96.8,468,408,11.5,193,19.1,123.3,5.1,35.7,44537,2180,1918,19,114,1138592
457,105.7,470,408,12.6,195,20.6,134.2,4.8,32.4,48700,2393,2082,19.1,145,1262119
,,,,,,,,,,,,,,,
457,113.2,463,407,10.8,280,17.3,143.9,8.1,37.8,55359,2672,2393,19.6,118,3141870
457,128.1,468,408,12.2,282,19.6,163.3,7.3,33.4,63684,3048,2721,19.7,171,3652088
457,144.4,473,407,13.6,282,22.1,183.9,6.4,30,72841,3458,3081,19.9,244,4242867
457,157.8,475,405,15,285,23.9,200.7,6,27.2,79501,3770,3343,19.9,311,4672524
457,177.2,483,407,16.7,288,27,226.5,5.4,24.5,91155,4294,3786,20.1,441,5451278
457,193.6,491,409,17.1,285,30.5,246.5,4.7,23.9,102393,4753,4196,20.4,604,6095764
457,212.9,496,408,18.6,285,33.6,271.7,4.3,22,114464,5277,4622,20.5,799,6901372
457,235.2,501,407,20.6,288,36.6,298.8,4,19.8,127367,5834,5080,20.6,1049,7787540
457,260.5,508,406,22.7,290,40.4,331,3.6,18,143600,6523,5638,20.8,1407,8942244
457,285.8,519,409,24.4,293,44.5,363.9,3.3,16.7,161082,7244,6228,21,1861,10204363
457,314.1,526,408,27,295,48.6,400.7,3.1,15.1,180229,8030,6867,21.2,2439,11654457
457,348.4,536,408,29.5,298,53.6,443.9,2.8,16.8,203954,8997,7637,21.4,3276,13453647
457,384.1,547,409,32.6,300,58.5,489.7,2.6,12.5,229344,10013,8423,21.7,4287,15467666
457,421.3,557,403,35.6,303,63.5,537.5,2.4,11.3,256815,11078,9259,21.9,5578,17696514
457,463,567,401,38.7,305,69.6,591,2.2,10.4,290114,12356,10226,22.1,7326,20462433
,,,,,,,,,,,,,,,
533,65.5,526,476,8.9,166,11.5,83.9,7.3,53.6,35089,1564,1338,20.5,32,566611
533,74.5,529,475,9.7,166,13.5,94.9,6.2,49.4,40958,1803,1549,20.8,47,690137
533,84.9,536,476,10.3,167,16.6,107.8,5.1,46.3,48700,2114,1819,21.2,74,856629
,,,,,,,,,,,,,,,
533,71.5,524,476,8.9,207,11,91,9.5,53.6,39917,1754,1524,20.9,33,1060717
